Restaurant,Cuisines,Ratings,Votes,Cost For Two
Moms Family Restaurant,"Chinese, North Indian, Fast Food",0.0,0,300
Empty Stomach,Fast Food,3.0,95,500
Jai Shankar Jumbo Vada Pav,Street Food,0.0,0,50
Cheers Restaurant &Bar,"North Indian, Malwani, Chinese",3.4,49,750
New Sangam Restaurant,North Indian,0.0,0,150
Hiren's Point,"North Indian, Chinese",0.0,0,250
Rasoi,"North Indian, Mughlai, Chinese",3.5,159,1300
Ramayan Hotel,Maharashtrian,0.0,0,300
Shyam Sunder Sweets,"Mithai, Street Food",0.0,0,200
Chilly Kebab Parcel Kitchen,"Chinese, North Indian",0.0,0,600
Nirmala Pawan Juice Centre,"Beverages, Fast Food",0.0,0,300
Shalimar Hotel,North Indian,0.0,0,700
Veg Non veg Gurudev Hotel,"North Indian, Chinese",0.0,0,400
SB Kulfi,"Desserts, Ice Cream",0.0,0,100
Jai Bhole Fast Food & Snacks,"Chinese, North Indian",3.2,9,250
Superb's Kitchen,Chinese,0.0,0,450
Dev Plaza Restaurant & Bar,North Indian,0.0,0,500
Viceroy's Kitchen,"Chinese, Fast Food",3.2,6,550
Gurunanik Restaurant And Dairy Farm,"Mithai, Desserts, Fast Food",0.0,0,250
Sojhromal Food Jalsa,North Indian,0.0,0,300
Mj Fast Foods,"South Indian, Chinese",0.0,0,150
City Snacks Kulfi & Faluda,"Fast Food, Ice Cream",0.0,0,200
IFC Family Restaurant,"North Indian, South Indian, Chinese",0.0,0,300
Thakurdas Nasta House,"Chinese, Street Food",0.0,0,200
Ymir,"American, Fast Food",0.0,0,200
Ramesh The Cake Shop,"Bakery, Mithai",0.0,0,250
Sai Sandwhich,Fast Food,0.0,0,100
KC's Kiara Cafe,"Fast Food, Burger, Beverages",0.0,0,300
Lachhu Pav Bhaji,"Chinese, Street Food",3.1,5,300
Hotel Memsaab,"Chinese, North Indian, Malwani, Biryani",3.2,10,800
Ninety Degrees,Bakery,0.0,0,300
Alpha Juice & Snacks,"Fast Food, Beverages",0.0,0,100
Foodiz Fast Food,"Fast Food, Beverages",3.1,7,350
Sakshi Restaurant,"North Indian, Chinese",0.0,0,500
Hotel Jawahar,"North Indian, Chinese",3.3,11,650
Hotel Shiv Krupa,Maharashtrian,0.0,0,250
Dolphin Club,"North Indian, South Indian, Chinese",0.0,0,1000
Sai Fast Food,"Chinese, Momos",0.0,0,200
The Food Garage,"Fast Food, Chinese",0.0,0,200
Tequila N Spices,"Bar Food, North Indian, Fast Food",0.0,0,1000
